Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E35;E12;G12;;;;73.44289471;39.20206038;4229.811;Global;0.031;0.021;0.013;0.037;1.134;m;FIX;2023-08-07 06:53:31.4 UTC+02:00;2023-08-07 06:53:41.4 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;52.301;Global CS
E36;E11;G11;;;;73.44292666;39.20202277;4229.298;Global;0.023;0.031;0.011;0.039;1.134;m;FIX;2023-08-07 06:53:50.8 UTC+02:00;2023-08-07 06:54:00.8 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;57.307;Global CS
E37;E10;G10;;;;73.44295934;39.20198652;4228.592;Global;0.015;0.018;0.01;0.023;1.134;m;FIX;2023-08-07 06:54:10.0 UTC+02:00;2023-08-07 06:54:20.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;62.263;Global CS
E38;E9;G9;;;;73.44299376;39.20195036;4228.186;Global;0.018;0.013;0.011;0.022;1.134;m;FIX;2023-08-07 06:54:28.4 UTC+02:00;2023-08-07 06:54:38.4 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;67.289;Global CS
E39;E8;G8;;;;73.44302508;39.20191258;4228.003;Global;0.019;0.012;0.011;0.022;1.134;m;FIX;2023-08-07 06:54:47.0 UTC+02:00;2023-08-07 06:54:57.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;72.276;Global CS
E40;E7;G7;;;;73.44305918;39.20187608;4227.767;Global;0.013;0.012;0.011;0.018;1.134;m;FIX;2023-08-07 06:55:08.6 UTC+02:00;2023-08-07 06:55:18.6 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;77.295;Global CS
E41;E6;G6;;;;73.44309172;39.20183978;4227.632;Global;0.026;0.012;0.01;0.028;1.134;m;FIX;2023-08-07 06:55:27.6 UTC+02:00;2023-08-07 06:55:37.6 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;82.211;Global CS
E42;E5;G5;;;;73.4431242;39.20180267;4227.568;Global;0.021;0.012;0.011;0.024;1.134;m;FIX;2023-08-07 06:55:46.0 UTC+02:00;2023-08-07 06:55:56.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;87.19;Global CS
E43;E4;G4;;;;73.44315805;39.20176536;4227.421;Global;0.012;0.011;0.01;0.016;1.134;m;FIX;2023-08-07 06:56:06.2 UTC+02:00;2023-08-07 06:56:16.2 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;92.259;Global CS
E44;E3;G3;;;;73.44318953;39.20172858;4227.234;Global;0.039;0.011;0.012;0.041;1.134;m;FIX;2023-08-07 06:56:25.0 UTC+02:00;2023-08-07 06:56:35.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;97.195;Global CS
E45;E2;G2;;;;73.44322341;39.20169162;4226.905;Global;0.016;0.021;0.011;0.026;1.134;m;FIX;2023-08-07 06:56:44.2 UTC+02:00;2023-08-07 06:56:54.2 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;102.218;Global CS
E46;E1;G1;;;;73.44325398;39.2016535;4226.47;Global;0.021;0.015;0.01;0.025;1.134;m;FIX;2023-08-07 06:57:03.6 UTC+02:00;2023-08-07 06:57:13.6 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;107.23;Global CS
E47;E0;G0;;;;73.44328488;39.2016164;4225.763;Global;0.011;0.012;0.011;0.016;1.134;m;FIX;2023-08-07 06:57:34.2 UTC+02:00;2023-08-07 06:57:44.2 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;112.174;Global CS
E48;E1;G1;;;;73.44331406;39.20157956;4225.025;Global;0.028;0.027;0.012;0.038;1.134;m;FIX;2023-08-07 06:57:56.0 UTC+02:00;2023-08-07 06:58:06.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;116.988;Global CS
tomas_sample_1;;;;;;73.4428169;39.20258822;4234.453;Global;0.013;0.013;0.012;0.018;1.134;m;FIX;2023-08-07 07:00:59.0 UTC+02:00;2023-08-07 07:01:09.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;27.04;Global CS
tomas_sample_2;;;;;;73.4425592;39.20284311;4235.134;Global;0.019;0.019;0.013;0.027;1.134;m;FIX;2023-08-07 07:14:16.2 UTC+02:00;2023-08-07 07:14:26.2 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;43.609;Global CS
tomas_sample_3;;;;;;73.44315949;39.20248291;4234.237;Global;0.012;0.011;0.01;0.016;1.134;m;FIX;2023-08-07 07:15:20.2 UTC+02:00;2023-08-07 07:15:30.2 UTC+02:00;51;1;;;;73.44255927;39.20245161;4233.187;52.038;Global CS
