Name;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E37;;;;;68.5841773;38.99055295;3403.353;0.599;0.624;1.43;0.865;1.134;m;SINGLE;2022-08-28 08:52:40.9 UTC+02:00;2022-08-28 08:52:50.9 UTC+02:00;11;1.6;;;;;;;;Global CS
E38;;;;;68.58413454;38.99051626;3403.289;0.571;0.631;1.4;0.851;1.134;m;SINGLE;2022-08-28 08:53:01.9 UTC+02:00;2022-08-28 08:53:12.9 UTC+02:00;12;1.6;;;;;;;;Global CS
E39;;;;;68.58408265;38.99049348;3402.07;0.575;0.644;1.521;0.863;1.134;m;SINGLE;2022-08-28 08:53:35.9 UTC+02:00;2022-08-28 08:53:45.9 UTC+02:00;11;1.8;;;;;;;;Global CS
E40;;;;;68.58405139;38.99046975;3401.519;0.663;0.717;1.602;0.976;1.134;m;SINGLE;2022-08-28 08:54:01.9 UTC+02:00;2022-08-28 08:54:11.9 UTC+02:00;11;1.7;;;;;;;;Global CS
E41;;;;;68.58402302;38.99044057;3401.467;0.745;0.792;1.703;1.087;1.134;m;SINGLE;2022-08-28 08:54:35.9 UTC+02:00;2022-08-28 08:54:46.9 UTC+02:00;12;2;;;;;;;;Global CS
E42;;;;;68.5839989;38.99042525;3401.531;0.753;0.845;1.806;1.132;1.134;m;SINGLE;2022-08-28 08:54:59.9 UTC+02:00;2022-08-28 08:55:09.9 UTC+02:00;11;2;;;;;;;;Global CS
E43;;;;;68.58394134;38.99039225;3402.309;0.697;0.851;1.793;1.1;1.134;m;SINGLE;2022-08-28 08:55:24.9 UTC+02:00;2022-08-28 08:55:34.9 UTC+02:00;11;2.6;;;;;;;;Global CS
E44;;;;;68.5838971;38.99036224;3404.214;0.609;0.819;1.732;1.021;1.134;m;SINGLE;2022-08-28 08:55:48.9 UTC+02:00;2022-08-28 08:55:59.9 UTC+02:00;12;1.7;;;;;;;;Global CS
E45;;;;;68.58385061;38.99032866;3406.377;0.623;0.786;1.72;1.003;1.134;m;SINGLE;2022-08-28 08:56:14.9 UTC+02:00;2022-08-28 08:56:24.9 UTC+02:00;11;1.8;;;;;;;;Global CS
E46;;;;;68.58382945;38.99031075;3406.874;0.7;0.87;1.808;1.117;1.134;m;SINGLE;2022-08-28 08:56:39.9 UTC+02:00;2022-08-28 08:56:49.9 UTC+02:00;11;1.8;;;;;;;;Global CS
E47;;;;;68.58380615;38.9902887;3407.597;0.73;0.884;1.809;1.146;1.134;m;SINGLE;2022-08-28 08:57:03.9 UTC+02:00;2022-08-28 08:57:14.9 UTC+02:00;12;2;;;;;;;;Global CS
E48;;;;;68.5837374;38.99025638;3410.483;0.677;0.805;1.733;1.052;1.134;m;SINGLE;2022-08-28 08:57:30.9 UTC+02:00;2022-08-28 08:57:41.9 UTC+02:00;12;2.1;;;;;;;;Global CS
