4  30.00 0.00 25.00  0.00 40.00  0.00 45.00  0.00 9236.28 
4  30.00 0.00 25.00  0.00 45.00  0.00 50.00  0.00 21769.00 
4  30.00 0.00 25.00  0.00 50.00  0.00 55.00  0.00 15592.39 
4  30.00 0.00 25.00  0.00 55.00  0.00 60.00  0.00 10037.92 
4  30.00 0.00 25.00  0.00 60.00  0.00 65.00  0.00 15393.63 
4  30.00 0.00 25.00  0.00 65.00  0.00 70.00  0.00 14574.45 
4  30.00 0.00 25.00  0.00 70.00  0.00 75.00  0.00 16036.22 
4  30.00 0.00 25.00  0.00 75.00  0.00 80.00  0.00 20490.18 
4  30.00 0.00 25.00  0.00 80.00  0.00 85.00  0.00 18888.42 
4  30.00 0.00 25.00  0.00 85.00  0.00 90.00  0.00 38898.78 
4  30.00 0.00 25.00  0.00 90.00  0.00 95.00  0.00 33913.45 
4  30.00 0.00 25.00  0.00 95.00  0.00 100.00  0.00 30728.85 
4  30.00 0.00 25.00  0.00 100.00  0.00 105.00  0.00 47225.90 
4  30.00 0.00 25.00  0.00 105.00  0.00 110.00  0.00 49176.52 
4  30.00 0.00 25.00  0.00 110.00  0.00 115.00  0.00 58385.63 
4  30.00 0.00 25.00  0.00 115.00  0.00 120.00  0.00 76051.69 
4  30.00 0.00 25.00  0.00 120.00  0.00 125.00  0.00 64924.07 
4  30.00 0.00 25.00  0.00 125.00  0.00 130.00  0.00 71820.09 
4  30.00 0.00 25.00  0.00 130.00  0.00 135.00  0.00 68382.65 
4  30.00 0.00 25.00  0.00 135.00  0.00 140.00  0.00 84225.23 
4  30.00 0.00 25.00  0.00 140.00  0.00 145.00  0.00 84131.23 
4  30.00 0.00 25.00  0.00 145.00  0.00 150.00  0.00 109026.55 
4  30.00 0.00 25.00  0.00 150.00  0.00 155.00  0.00 85661.22 
4  30.00 0.00 25.00  0.00 155.00  0.00 160.00  0.00 100228.38 
4  30.00 0.00 25.00  0.00 160.00  0.00 165.00  0.00 61858.38 
4  30.00 0.00 25.00  0.00 165.00  0.00 170.00  0.00 100135.12 
4  30.00 0.00 25.00  0.00 170.00  0.00 175.00  0.00 66201.55 
4  30.00 0.00 25.00  0.00 175.00  0.00 180.00  0.00 57621.07 
4  30.00 0.00 25.00  0.00 180.00  0.00 185.00  0.00 66853.48 
4  30.00 0.00 25.00  0.00 185.00  0.00 190.00  0.00 91084.80 
4  30.00 0.00 25.00  0.00 190.00  0.00 195.00  0.00 64317.83 
4  35.00 0.00 30.00  0.00 40.00  0.00 45.00  0.00 4829.77 
4  35.00 0.00 30.00  0.00 45.00  0.00 50.00  0.00 13643.94 
4  35.00 0.00 30.00  0.00 50.00  0.00 55.00  0.00 10610.47 
4  35.00 0.00 30.00  0.00 55.00  0.00 60.00  0.00 7504.63 
4  35.00 0.00 30.00  0.00 60.00  0.00 65.00  0.00 12605.24 
