4  45.00 0.00 40.00  0.00 55.00  0.00 60.00  0.00 7025.60
4  45.00 0.00 40.00  0.00 60.00  0.00 65.00  0.00 11212.68
4  45.00 0.00 40.00  0.00 65.00  0.00 70.00  0.00 5862.89
4  45.00 0.00 40.00  0.00 70.00  0.00 75.00  0.00 5661.44
4  45.00 0.00 40.00  0.00 75.00  0.00 80.00  0.00 9269.13
4  45.00 0.00 40.00  0.00 80.00  0.00 85.00  0.00 9570.48
4  45.00 0.00 40.00  0.00 85.00  0.00 90.00  0.00 7600.89
4  45.00 0.00 40.00  0.00 90.00  0.00 95.00  0.00 9885.14
4  45.00 0.00 40.00  0.00 95.00  0.00 100.00  0.00 6718.41
4  45.00 0.00 40.00  0.00 100.00  0.00 105.00  0.00 8168.22
4  45.00 0.00 40.00  0.00 105.00  0.00 110.00  0.00 9411.51
4  45.00 0.00 40.00  0.00 110.00  0.00 115.00  0.00 6671.97
4  45.00 0.00 40.00  0.00 115.00  0.00 120.00  0.00 5881.52
4  45.00 0.00 40.00  0.00 120.00  0.00 125.00  0.00 5316.09
4  45.00 0.00 40.00  0.00 125.00  0.00 130.00  0.00 7197.54
4  45.00 0.00 40.00  0.00 130.00  0.00 135.00  0.00 9334.06
4  45.00 0.00 40.00  0.00 135.00  0.00 140.00  0.00 6722.76
4  45.00 0.00 40.00  0.00 140.00  0.00 145.00  0.00 6583.36
4  45.00 0.00 40.00  0.00 145.00  0.00 150.00  0.00 6162.61
4  45.00 0.00 40.00  0.00 150.00  0.00 155.00  0.00 5828.69
4  45.00 0.00 40.00  0.00 155.00  0.00 160.00  0.00 11244.22
4  45.00 0.00 40.00  0.00 160.00  0.00 165.00  0.00 6056.06
4  45.00 0.00 40.00  0.00 165.00  0.00 170.00  0.00 6982.77
4  50.00 0.00 45.00  0.00 55.00  0.00 60.00  0.00 3607.55
4  50.00 0.00 45.00  0.00 60.00  0.00 65.00  0.00 6154.09
4  50.00 0.00 45.00  0.00 65.00  0.00 70.00  0.00 3565.86
4  50.00 0.00 45.00  0.00 70.00  0.00 75.00  0.00 3820.02
4  50.00 0.00 45.00  0.00 75.00  0.00 80.00  0.00 6368.64
4  50.00 0.00 45.00  0.00 80.00  0.00 85.00  0.00 6887.03
4  50.00 0.00 45.00  0.00 85.00  0.00 90.00  0.00 5531.09
4  50.00 0.00 45.00  0.00 95.00  0.00 100.00  0.00 4841.63
4  50.00 0.00 45.00  0.00 105.00  0.00 110.00  0.00 6709.08
4  50.00 0.00 45.00  0.00 115.00  0.00 120.00  0.00 10560.87
4  50.00 0.00 45.00  0.00 120.00  0.00 125.00  0.00 3667.29
4  50.00 0.00 45.00  0.00 125.00  0.00 130.00  0.00 5133.72
4  50.00 0.00 45.00  0.00 140.00  0.00 145.00  0.00 4788.28
4  55.00 0.00 50.00  0.00 60.00  0.00 65.00  0.00 3946.28
4  55.00 0.00 50.00  0.00 65.00  0.00 70.00  0.00 2724.58
4  55.00 0.00 50.00  0.00 70.00  0.00 75.00  0.00 3067.83
4  55.00 0.00 50.00  0.00 75.00  0.00 80.00  0.00 5656.18
4  55.00 0.00 50.00  0.00 80.00  0.00 85.00  0.00 6215.11
4  55.00 0.00 50.00  0.00 125.00  0.00 130.00  0.00 5014.02
4  55.00 0.00 50.00  0.00 135.00  0.00 140.00  0.00 4816.22
4  55.00 0.00 50.00  0.00 140.00  0.00 145.00  0.00 5100.99
4  55.00 0.00 50.00  0.00 145.00  0.00 150.00  0.00 4116.79
4  55.00 0.00 50.00  0.00 150.00  0.00 155.00  0.00 5296.15
4  55.00 0.00 50.00  0.00 155.00  0.00 160.00  0.00 7964.70
4  55.00 0.00 50.00  0.00 165.00  0.00 170.00  0.00 6122.01
4  60.00 0.00 55.00  0.00 70.00  0.00 75.00  0.00 2473.79
4  60.00 0.00 55.00  0.00 75.00  0.00 80.00  0.00 3019.28
4  60.00 0.00 55.00  0.00 80.00  0.00 85.00  0.00 6102.10
4  60.00 0.00 55.00  0.00 85.00  0.00 90.00  0.00 5125.04
4  60.00 0.00 55.00  0.00 90.00  0.00 95.00  0.00 7083.08
4  60.00 0.00 55.00  0.00 95.00  0.00 100.00  0.00 4956.55
4  60.00 0.00 55.00  0.00 100.00  0.00 105.00  0.00 5884.69
4  60.00 0.00 55.00  0.00 110.00  0.00 115.00  0.00 4354.43
4  60.00 0.00 55.00  0.00 115.00  0.00 120.00  0.00 3721.16
4  60.00 0.00 55.00  0.00 120.00  0.00 125.00  0.00 3326.71
4  60.00 0.00 55.00  0.00 125.00  0.00 130.00  0.00 4797.26
4  60.00 0.00 55.00  0.00 130.00  0.00 135.00  0.00 6335.46
4  60.00 0.00 55.00  0.00 135.00  0.00 140.00  0.00 4394.92
4  60.00 0.00 55.00  0.00 140.00  0.00 145.00  0.00 3898.11
4  60.00 0.00 55.00  0.00 145.00  0.00 150.00  0.00 3969.76
4  60.00 0.00 55.00  0.00 150.00  0.00 155.00  0.00 2630.66
4  60.00 0.00 55.00  0.00 155.00  0.00 160.00  0.00 6846.20
