KAR02_2024-08-18_DD5m.binx
         5.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
717
 2
0
4  35.00  0.00 40.00  0.00 205.00  0.00 210.00  0.00 2081.67 
4  35.00  0.00 40.00  0.00 215.00  0.00 220.00  0.00 6475.86 
4  35.00  0.00 40.00  0.00 225.00  0.00 230.00  0.00 4689.75 
4  40.00  0.00 45.00  0.00 50.00  0.00 55.00  0.00 1351.91 
4  40.00  0.00 45.00  0.00 55.00  0.00 60.00  0.00 1500.49 
4  40.00  0.00 45.00  0.00 60.00  0.00 65.00  0.00 1608.73 
4  40.00  0.00 45.00  0.00 65.00  0.00 70.00  0.00 2182.69 
4  40.00  0.00 45.00  0.00 70.00  0.00 75.00  0.00 2255.90 
4  40.00  0.00 45.00  0.00 75.00  0.00 80.00  0.00 1369.25 
4  40.00  0.00 45.00  0.00 80.00  0.00 85.00  0.00 772.76 
4  40.00  0.00 45.00  0.00 85.00  0.00 90.00  0.00 1746.17 
4  40.00  0.00 45.00  0.00 90.00  0.00 95.00  0.00 968.17 
4  40.00  0.00 45.00  0.00 95.00  0.00 100.00  0.00 1248.01 
4  40.00  0.00 45.00  0.00 105.00  0.00 110.00  0.00 2798.82 
4  40.00  0.00 45.00  0.00 110.00  0.00 115.00  0.00 59.24 
4  40.00  0.00 45.00  0.00 115.00  0.00 120.00  0.00 2187.61 
4  40.00  0.00 45.00  0.00 125.00  0.00 130.00  0.00 1648.24 
4  40.00  0.00 45.00  0.00 130.00  0.00 135.00  0.00 63.42 
4  40.00  0.00 45.00  0.00 135.00  0.00 140.00  0.00 820.88 
4  40.00  0.00 45.00  0.00 145.00  0.00 150.00  0.00 699.57 
4  40.00  0.00 45.00  0.00 155.00  0.00 160.00  0.00 795.30 
4  40.00  0.00 45.00  0.00 165.00  0.00 170.00  0.00 1347.31 
4  40.00  0.00 45.00  0.00 175.00  0.00 180.00  0.00 2327.55 
4  40.00  0.00 45.00  0.00 185.00  0.00 190.00  0.00 1585.88 
4  40.00  0.00 45.00  0.00 195.00  0.00 200.00  0.00 4511.31 
4  40.00  0.00 45.00  0.00 205.00  0.00 210.00  0.00 771.20 
4  40.00  0.00 45.00  0.00 215.00  0.00 220.00  0.00 1389.41 
4  45.00  0.00 50.00  0.00 55.00  0.00 60.00  0.00 1066.53 
4  45.00  0.00 50.00  0.00 60.00  0.00 65.00  0.00 1343.15 
4  45.00  0.00 50.00  0.00 65.00  0.00 70.00  0.00 1723.88 
4  45.00  0.00 50.00  0.00 70.00  0.00 75.00  0.00 2941.09 
4  45.00  0.00 50.00  0.00 75.00  0.00 80.00  0.00 1333.35 
4  45.00  0.00 50.00  0.00 80.00  0.00 85.00  0.00 1526.71 
4  45.00  0.00 50.00  0.00 85.00  0.00 90.00  0.00 1179.73 
4  45.00  0.00 50.00  0.00 90.00  0.00 95.00  0.00 995.07 
4  45.00  0.00 50.00  0.00 95.00  0.00 100.00  0.00 451.47 
4  45.00  0.00 50.00  0.00 120.00  0.00 125.00  0.00 762.82 
4  45.00  0.00 50.00  0.00 125.00  0.00 130.00  0.00 233.43 
4  45.00  0.00 50.00  0.00 130.00  0.00 135.00  0.00 560.29 
4  45.00  0.00 50.00  0.00 140.00  0.00 145.00  0.00 1174.64 
4  45.00  0.00 50.00  0.00 150.00  0.00 155.00  0.00 2099.04 
4  45.00  0.00 50.00  0.00 160.00  0.00 165.00  0.00 696.85 
4  45.00  0.00 50.00  0.00 170.00  0.00 175.00  0.00 2682.77 
4  45.00  0.00 50.00  0.00 180.00  0.00 185.00  0.00 6143.29 
4  45.00  0.00 50.00  0.00 190.00  0.00 195.00  0.00 2076.77 
4  45.00  0.00 50.00  0.00 220.00  0.00 225.00  0.00 4916.62 
4  45.00  0.00 50.00  0.00 230.00  0.00 235.00  0.00 2882.73 
4  50.00  0.00 55.00  0.00 60.00  0.00 65.00  0.00 1077.96 
4  50.00  0.00 55.00  0.00 65.00  0.00 70.00  0.00 2166.17 
4  50.00  0.00 55.00  0.00 70.00  0.00 75.00  0.00 2380.91 
4  50.00  0.00 55.00  0.00 75.00  0.00 80.00  0.00 1677.37 
4  50.00  0.00 55.00  0.00 80.00  0.00 85.00  0.00 1621.93 
4  50.00  0.00 55.00  0.00 85.00  0.00 90.00  0.00 915.09 
