48 	 # Number of sensors 
# x z 
0	-28.72
5	-28.23
10	-27.8
15	-27.02
20	-26.61
25	-25.95
30	-25.65
35	-25.07
40	-24.57
45	-23.9
50	-23.37
55	-22.74
60	-22.68
65	-22.05
70	-21.6
75	-20.95
80	-20.5
85	-19.5
90	-18.46
95	-17.36
100	-16.34
105	-15.24
110	-14.23
115	-13.08
120	-12.16
125	-11.65
130	-11.02
135	-10.25
140	-9.69
145	-8.9
150	-8.13
155	-7.36
160	-6.64
165	-6.01
170	-5.29
175	-4.91
180	-4.6
185	-4.52
190	-4.55
195	-4.33
200	-4.08
205	-3.7
210	-3.06
215	-2.05
220	-1.49
225	-0.68
230	-0.17
235	0
887 	 # Number of measurements 
# a b m n rhoa err
13 14 29 30 2245.20 0.040 
14 15 30 31 2157.30 0.040 
15 16 31 32 3042.80 0.040 
16 17 32 33 3366.40 0.040 
17 18 33 34 3823.30 0.040 
18 19 34 35 4595.10 0.040 
19 20 35 36 4062.00 0.040 
21 22 37 38 4707.10 0.040 
22 23 38 39 4109.00 0.040 
23 24 39 40 3826.50 0.040 
24 25 40 41 2380.50 0.040 
26 27 42 43 1316.40 0.040 
27 28 43 44 1674.20 0.040 
28 29 44 45 1701.60 0.040 
29 30 45 46 1337.50 0.040 
30 31 46 47 1034.50 0.040 
1 2 18 19 6556.80 0.040 
2 3 19 20 4581.20 0.040 
3 4 20 21 3631.50 0.040 
4 5 21 22 2768.10 0.040 
5 6 22 23 2790.60 0.040 
6 7 23 24 2130.00 0.040 
7 8 24 25 2055.90 0.040 
8 9 25 26 1847.80 0.040 
9 10 26 27 1876.80 0.040 
10 11 27 28 1748.50 0.040 
11 12 28 29 2493.40 0.040 
12 13 29 30 2227.90 0.040 
13 14 30 31 2339.90 0.040 
14 15 31 32 2720.90 0.040 
15 16 32 33 2562.90 0.040 
16 17 33 34 3434.80 0.040 
17 18 34 35 3897.50 0.040 
18 19 35 36 4126.00 0.040 
19 20 36 37 3869.70 0.040 
20 21 37 38 4604.90 0.040 
22 23 39 40 3527.90 0.040 
23 24 40 41 2675.80 0.040 
24 25 41 42 1878.50 0.040 
26 27 43 44 1633.70 0.040 
27 28 44 45 1203.90 0.040 
28 29 45 46 1192.80 0.040 
29 30 46 47 968.00 0.040 
30 31 47 48 1156.50 0.040 
1 2 19 20 5580.90 0.040 
2 3 20 21 4057.70 0.040 
3 4 21 22 3246.90 0.040 
4 5 22 23 2801.40 0.040 
5 6 23 24 2344.00 0.040 
6 7 24 25 2284.90 0.040 
7 8 25 26 2077.30 0.040 
8 9 26 27 2056.40 0.040 
9 10 27 28 1876.50 0.040 
10 11 28 29 2330.10 0.040 
11 12 29 30 2218.50 0.040 
12 13 30 31 2613.20 0.040 
13 14 31 32 3062.10 0.040 
14 15 32 33 2268.40 0.040 
15 16 33 34 2579.60 0.040 
16 17 34 35 3119.90 0.040 
17 18 35 36 3462.60 0.040 
18 19 36 37 4078.20 0.040 
19 20 37 38 2711.90 0.040 
20 21 38 39 2905.30 0.040 
21 22 39 40 4293.90 0.040 
22 23 40 41 2763.60 0.040 
23 24 41 42 2495.90 0.040 
24 25 42 43 1904.80 0.040 
26 27 44 45 1531.60 0.040 
27 28 45 46 1036.60 0.040 
29 30 47 48 784.51 0.040 
1 2 20 21 4716.70 0.040 
2 3 21 22 3355.80 0.040 
3 4 22 23 3221.70 0.040 
4 5 23 24 2332.10 0.040 
5 6 24 25 2446.30 0.040 
6 7 25 26 2144.00 0.040 
7 8 26 27 2264.30 0.040 
8 9 27 28 1986.00 0.040 
9 10 28 29 2589.00 0.040 
10 11 29 30 2146.50 0.040 
11 12 30 31 2439.10 0.040 
12 13 31 32 3040.40 0.040 
13 14 32 33 2481.70 0.040 
14 15 33 34 2283.70 0.040 
15 16 34 35 2381.00 0.040 
16 17 35 36 3156.60 0.040 
17 18 36 37 3239.90 0.040 
