48 	 # Number of sensors 
# x z 
0.00 0.00 
5.00 0.30 
10.00 0.30 
15.00 0.00 
20.00 -0.30 
25.00 -0.20 
30.00 -0.20 
35.00 0.10 
40.00 0.10 
45.00 0.10 
50.00 -0.20 
55.00 -0.30 
60.00 -0.10 
65.00 -0.30 
70.00 -0.40 
74.90 0.40 
79.90 0.70 
84.90 0.60 
89.90 0.80 
94.90 1.10 
99.90 1.60 
104.90 1.70 
109.80 2.00 
114.80 2.40 
119.80 2.60 
124.80 2.90 
129.80 3.20 
134.80 3.60 
139.80 4.20 
144.70 4.40 
149.70 3.80 
154.70 3.80 
159.60 4.70 
164.50 5.80 
169.50 5.80 
174.50 5.40 
179.30 7.00 
183.90 8.90 
187.10 12.70 
192.10 13.00 
197.10 13.00 
202.10 13.10 
207.10 12.40 
212.00 12.20 
217.00 12.70 
221.90 14.00 
226.90 14.00 
231.90 14.00 
335 	 # Number of measurements 
# a b m n rhoa err
16 34 22 28 171784.00 0.040 
18 36 24 30 200008.00 0.040 
19 37 25 31 172818.00 0.040 
20 38 26 32 148726.00 0.040 
21 39 27 33 134731.00 0.040 
22 40 28 34 147767.00 0.040 
23 41 29 35 140000.00 0.040 
24 42 30 36 166224.00 0.040 
25 43 31 37 118978.00 0.040 
26 44 32 38 175277.00 0.040 
27 45 33 39 181998.00 0.040 
28 46 34 40 166445.00 0.040 
29 47 35 41 153235.00 0.040 
1 22 8 15 191851.00 0.040 
2 23 9 16 205768.00 0.040 
3 24 10 17 164390.00 0.040 
4 25 11 18 153863.00 0.040 
5 26 12 19 188945.00 0.040 
6 27 13 20 180791.00 0.040 
7 28 14 21 169644.00 0.040 
8 29 15 22 164659.00 0.040 
9 30 16 23 184573.00 0.040 
10 31 17 24 109332.00 0.040 
11 32 18 25 218990.00 0.040 
12 33 19 26 196266.00 0.040 
13 34 20 27 195267.00 0.040 
14 35 21 28 215343.00 0.040 
15 36 22 29 192298.00 0.040 
16 37 23 30 207119.00 0.040 
18 39 25 32 156382.00 0.040 
19 40 26 33 164571.00 0.040 
20 41 27 34 143553.00 0.040 
21 42 28 35 171060.00 0.040 
22 43 29 36 140219.00 0.040 
23 44 30 37 141277.00 0.040 
24 45 31 38 163608.00 0.040 
25 46 32 39 191014.00 0.040 
26 47 33 40 178573.00 0.040 
27 48 34 41 157093.00 0.040 
1 25 9 17 173575.00 0.040 
2 26 10 18 175641.00 0.040 
3 27 11 19 183680.00 0.040 
4 28 12 20 185817.00 0.040 
5 29 13 21 176122.00 0.040 
6 30 14 22 170403.00 0.040 
7 31 15 23 174052.00 0.040 
8 32 16 24 185525.00 0.040 
9 33 17 25 134616.00 0.040 
10 34 18 26 169320.00 0.040 
11 35 19 27 155937.00 0.040 
12 36 20 28 207027.00 0.040 
13 37 21 29 218516.00 0.040 
14 38 22 30 163447.00 0.040 
15 39 23 31 149191.00 0.040 
16 40 24 32 172966.00 0.040 
18 42 26 34 181550.00 0.040 
19 43 27 35 150462.00 0.040 
20 44 28 36 155094.00 0.040 
21 45 29 37 146998.00 0.040 
22 46 30 38 209492.00 0.040 
23 47 31 39 164438.00 0.040 
24 48 32 40 176664.00 0.040 
1 28 10 19 199480.00 0.040 
2 29 11 20 174207.00 0.040 
3 30 12 21 177900.00 0.040 
4 31 13 22 174511.00 0.040 
5 32 14 23 175833.00 0.040 
6 33 15 24 169956.00 0.040 
7 34 16 25 187320.00 0.040 
8 35 17 26 146886.00 0.040 
9 36 18 27 161340.00 0.040 
10 37 19 28 194582.00 0.040 
11 38 20 29 163426.00 0.040 
12 39 21 30 171648.00 0.040 
13 40 22 31 148239.00 0.040 
14 41 23 32 171697.00 0.040 
15 42 24 33 181086.00 0.040 
16 43 25 34 158290.00 0.040 
18 45 27 36 166982.00 0.040 
19 46 28 37 168052.00 0.040 
20 47 29 38 198048.00 0.040 
21 48 30 39 189455.00 0.040 
1 31 11 21 183319.00 0.040 
2 32 12 22 169848.00 0.040 
3 33 13 23 171279.00 0.040 
4 34 14 24 170868.00 0.040 
5 35 15 25 166771.00 0.040 
6 36 16 26 178190.00 0.040 
7 37 17 27 143241.00 0.040 
8 38 18 28 125995.00 0.040 
9 39 19 29 142463.00 0.040 
10 40 20 30 153123.00 0.040 
11 41 21 31 111612.00 0.040 
12 42 22 32 150993.00 0.040 
13 43 23 33 164059.00 0.040 
14 44 24 34 170099.00 0.040 
15 45 25 35 169821.00 0.040 
16 46 26 36 172907.00 0.040 
18 48 28 38 208001.00 0.040 
1 34 12 23 178537.00 0.040 
2 35 13 24 156852.00 0.040 
3 36 14 25 164834.00 0.040 
4 37 15 26 160361.00 0.040 
5 38 16 27 122005.00 0.040 
6 39 17 28 109761.00 0.040 
7 40 18 29 115807.00 0.040 
8 41 19 30 133436.00 0.040 
10 43 21 32 145301.00 0.040 
11 44 22 33 183485.00 0.040 
12 45 23 34 160574.00 0.040 
13 46 24 35 173825.00 0.040 
14 47 25 36 174287.00 0.040 
15 48 26 37 164051.00 0.040 
1 37 13 25 157461.00 0.040 
2 38 14 26 108258.00 0.040 
3 39 15 27 103719.00 0.040 
4 40 16 28 113841.00 0.040 
5 41 17 29 100031.00 0.040 
7 43 19 31 109742.00 0.040 
8 44 20 32 125635.00 0.040 
9 45 21 33 140662.00 0.040 
10 46 22 34 135458.00 0.040 
11 47 23 35 173560.00 0.040 
12 48 24 36 159899.00 0.040 
1 40 14 27 106861.00 0.040 
2 41 15 28 92701.00 0.040 
3 42 16 29 116143.00 0.040 
4 43 17 30 94146.00 0.040 
5 44 18 31 90811.00 0.040 
6 45 19 32 110254.00 0.040 
7 46 20 33 121044.00 0.040 
8 47 21 34 134822.00 0.040 
9 48 22 35 124700.00 0.040 
1 43 15 29 84935.00 0.040 
2 44 16 30 83405.00 0.040 
3 45 17 31 87815.00 0.040 
4 46 18 32 94149.00 0.040 
5 47 19 33 105275.00 0.040 
6 48 20 34 107476.00 0.040 
1 46 16 31 81681.00 0.040 
2 47 17 32 77283.00 0.040 
3 48 18 33 84801.00 0.040 
