48 	 # Number of sensors 
# x z 
0	-43
5	-42
10	-40.12
15	-39.05
20	-37.57
25	-36.09
30	-34.66
35	-33.26
40	-31.8
45	-30.3
50	-28.85
55	-27.58
60	-26.46
65	-25.23
70	-24.09
75	-23.11
80	-22.28
85	-21.57
90	-20.71
95	-19.75
100	-19.06
105	-17.94
110	-16.61
115	-15.56
120	-14.41
125	-13.02
130	-11.81
135	-10.72
140	-9.59
145	-8.52
150	-7.43
155	-6.25
160	-5.26
165	-4.57
170	-3.94
175	-3.5
180	-2.92
185	-2.5
190	-2.19
195	-1.82
200	-1.68
205	-1.65
210	-1.6
215	-1.34
220	-1.15
225	-1.01
230	-0.64
235	-0.38
842 	 # Number of measurements 
# a b m n rhoa err
8 7 15 16 17441.00 0.040 
9 8 16 17 25682.00 0.040 
10 9 17 18 29224.00 0.040 
11 10 18 19 21024.00 0.040 
12 11 19 20 18011.00 0.040 
13 12 20 21 32437.00 0.040 
14 13 21 22 30230.00 0.040 
15 14 22 23 21682.00 0.040 
16 15 23 24 21289.00 0.040 
17 16 24 25 40143.00 0.040 
18 17 25 26 33128.00 0.040 
19 18 26 27 20226.00 0.040 
20 19 27 28 19668.00 0.040 
21 20 28 29 41548.00 0.040 
22 21 29 30 37676.00 0.040 
23 22 30 31 31697.00 0.040 
24 23 31 32 36016.00 0.040 
25 24 32 33 54080.00 0.040 
26 25 33 34 48673.00 0.040 
27 26 34 35 39686.00 0.040 
28 27 35 36 41770.00 0.040 
29 28 36 37 44234.00 0.040 
30 29 37 38 45348.00 0.040 
31 30 38 39 61639.00 0.040 
32 31 39 40 77336.00 0.040 
33 32 40 41 84802.00 0.040 
34 33 41 42 75738.00 0.040 
35 34 42 43 85474.00 0.040 
36 35 43 44 69241.00 0.040 
37 36 44 45 69868.00 0.040 
38 37 45 46 68488.00 0.040 
39 38 46 47 65872.00 0.040 
40 39 47 48 60974.00 0.040 
2 1 10 11 25842.00 0.040 
3 2 11 12 18136.00 0.040 
4 3 12 13 23300.00 0.040 
5 4 13 14 21009.00 0.040 
6 5 14 15 25682.00 0.040 
7 6 15 16 16804.00 0.040 
8 7 16 17 28113.00 0.040 
9 8 17 18 27440.00 0.040 
10 9 18 19 24070.00 0.040 
11 10 19 20 17351.00 0.040 
12 11 20 21 37326.00 0.040 
13 12 21 22 34681.00 0.040 
14 13 22 23 26017.00 0.040 
15 14 23 24 25014.00 0.040 
16 15 24 25 28978.00 0.040 
17 16 25 26 36616.00 0.040 
18 17 26 27 28573.00 0.040 
19 18 27 28 24211.00 0.040 
20 19 28 29 20218.00 0.040 
21 20 29 30 42884.00 0.040 
22 21 30 31 50936.00 0.040 
23 22 31 32 34908.00 0.040 
24 23 32 33 42956.00 0.040 
25 24 33 34 60220.00 0.040 
26 25 34 35 61287.00 0.040 
27 26 35 36 40249.00 0.040 
28 27 36 37 49257.00 0.040 
29 28 37 38 47431.00 0.040 
30 29 38 39 51074.00 0.040 
31 30 39 40 85536.00 0.040 
32 31 40 41 84927.00 0.040 
33 32 41 42 82855.00 0.040 
34 33 42 43 87211.00 0.040 
35 34 43 44 78149.00 0.040 
36 35 44 45 71437.00 0.040 
37 36 45 46 73415.00 0.040 
38 37 46 47 65696.00 0.040 
39 38 47 48 62872.00 0.040 
2 1 11 12 29473.00 0.040 
3 2 12 13 19474.00 0.040 
4 3 13 14 24354.00 0.040 
5 4 14 15 22865.00 0.040 
6 5 15 16 23281.00 0.040 
8 7 17 18 30021.00 0.040 
9 8 18 19 21538.00 0.040 
10 9 19 20 19022.00 0.040 
11 10 20 21 37098.00 0.040 
12 11 21 22 40365.00 0.040 
13 12 22 23 27937.00 0.040 
14 13 23 24 27994.00 0.040 
15 14 24 25 33753.00 0.040 
16 15 25 26 26331.00 0.040 
17 16 26 27 30992.00 0.040 
18 17 27 28 33526.00 0.040 
19 18 28 29 24457.00 0.040 
20 19 29 30 21153.00 0.040 
21 20 30 31 56893.00 0.040 
22 21 31 32 55481.00 0.040 
23 22 32 33 41671.00 0.040 
24 23 33 34 46368.00 0.040 
25 24 34 35 71024.00 0.040 
26 25 35 36 56122.00 0.040 
27 26 36 37 46608.00 0.040 
28 27 37 38 52715.00 0.040 
29 28 38 39 52081.00 0.040 
30 29 39 40 69152.00 0.040 
31 30 40 41 91808.00 0.040 
32 31 41 42 82958.00 0.040 
33 32 42 43 93918.00 0.040 
34 33 43 44 79353.00 0.040 
35 34 44 45 78984.00 0.040 
36 35 45 46 75076.00 0.040 
37 36 46 47 69442.00 0.040 
38 37 47 48 60508.00 0.040 
2 1 12 13 31205.00 0.040 
3 2 13 14 20693.00 0.040 
4 3 14 15 26212.00 0.040 
5 4 15 16 21567.00 0.040 
8 7 18 19 23303.00 0.040 
9 8 19 20 18466.00 0.040 
10 9 20 21 42752.00 0.040 
11 10 21 22 39834.00 0.040 
12 11 22 23 31240.00 0.040 
13 12 23 24 29432.00 0.040 
14 13 24 25 35928.00 0.040 
15 14 25 26 30043.00 0.040 
16 15 26 27 21955.00 0.040 
17 16 27 28 35964.00 0.040 
18 17 28 29 33593.00 0.040 
19 18 29 30 25013.00 0.040 
20 19 30 31 27893.00 0.040 
21 20 31 32 61168.00 0.040 
22 21 32 33 65413.00 0.040 
23 22 33 34 44814.00 0.040 
24 23 34 35 52178.00 0.040 
25 24 35 36 64817.00 0.040 
26 25 36 37 63264.00 0.040 
27 26 37 38 48862.00 0.040 
28 27 38 39 56604.00 0.040 
29 28 39 40 67802.00 0.040 
30 29 40 41 73909.00 0.040 
31 30 41 42 88464.00 0.040 
32 31 42 43 92671.00 0.040 
33 32 43 44 83207.00 0.040 
34 33 44 45 79099.00 0.040 
35 34 45 46 81460.00 0.040 
36 35 46 47 70253.00 0.040 
37 36 47 48 65073.00 0.040 
3 2 14 15 20931.00 0.040 
4 3 15 16 23491.00 0.040 
5 4 16 17 33263.00 0.040 
7 6 18 19 21608.00 0.040 
9 8 20 21 40007.00 0.040 
10 9 21 22 44671.00 0.040 
11 10 22 23 30001.00 0.040 
12 11 23 24 32891.00 0.040 
13 12 24 25 38266.00 0.040 
14 13 25 26 30632.00 0.040 
15 14 26 27 24623.00 0.040 
16 15 27 28 25235.00 0.040 
17 16 28 29 35285.00 0.040 
18 17 29 30 34992.00 0.040 
19 18 30 31 33047.00 0.040 
20 19 31 32 29484.00 0.040 
21 20 32 33 71081.00 0.040 
22 21 33 34 69689.00 0.040 
23 22 34 35 50692.00 0.040 
24 23 35 36 49089.00 0.040 
25 24 36 37 74443.00 0.040 
26 25 37 38 64270.00 0.040 
27 26 38 39 51970.00 0.040 
28 27 39 40 75174.00 0.040 
29 28 40 41 71254.00 0.040 
30 29 41 42 69141.00 0.040 
31 30 42 43 98261.00 0.040 
32 31 43 44 82381.00 0.040 
33 32 44 45 83354.00 0.040 
34 33 45 46 83667.00 0.040 
35 34 46 47 76079.00 0.040 
3 2 15 16 20237.00 0.040 
4 3 16 17 37456.00 0.040 
5 4 17 18 38131.00 0.040 
7 6 19 20 18470.00 0.040 
8 7 20 21 43254.00 0.040 
9 8 21 22 41356.00 0.040 
10 9 22 23 33786.00 0.040 
11 10 23 24 31204.00 0.040 
12 11 24 25 41971.00 0.040 
13 12 25 26 33665.00 0.040 
14 13 26 27 25380.00 0.040 
15 14 27 28 27958.00 0.040 
16 15 28 29 24637.00 0.040 
17 16 29 30 35265.00 0.040 
18 17 30 31 45528.00 0.040 
19 18 31 32 34846.00 0.040 
20 19 32 33 34455.00 0.040 
21 20 33 34 75087.00 0.040 
22 21 34 35 78236.00 0.040 
23 22 35 36 46716.00 0.040 
24 23 36 37 53641.00 0.040 
25 24 37 38 76757.00 0.040 
26 25 38 39 68468.00 0.040 
27 26 39 40 68346.00 0.040 
28 27 40 41 76614.00 0.040 
29 28 41 42 66681.00 0.040 
30 29 42 43 76622.00 0.040 
31 30 43 44 86699.00 0.040 
32 31 44 45 80467.00 0.040 
33 32 45 46 82659.00 0.040 
34 33 46 47 76704.00 0.040 
2 1 15 16 32697.00 0.040 
3 2 16 17 32632.00 0.040 
4 3 17 18 40737.00 0.040 
5 4 18 19 29830.00 0.040 
6 5 19 20 27982.00 0.040 
7 6 20 21 43251.00 0.040 
8 7 21 22 44191.00 0.040 
9 8 22 23 31255.00 0.040 
10 9 23 24 34671.00 0.040 
11 10 24 25 41448.00 0.040 
12 11 25 26 36977.00 0.040 
13 12 26 27 27439.00 0.040 
14 13 27 28 29146.00 0.040 
15 14 28 29 27709.00 0.040 
16 15 29 30 25307.00 0.040 
17 16 30 31 46269.00 0.040 
