Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E36;;;;;;77.76134186;41.77770039;3972.488;Global;0.011;0.011;0.013;0.016;1.134;m;FIX;2023-07-12 10:06:10.0 UTC+02:00;2023-07-12 10:06:21.0 UTC+02:00;12;2.4;;;;77.76220517;41.77837947;3946.492;107.663;Global CS
E37;;;;;;77.76129677;41.7777284;3972.905;Global;0.011;0.011;0.015;0.015;1.134;m;FIX;2023-07-12 10:06:53.0 UTC+02:00;2023-07-12 10:07:04.0 UTC+02:00;12;2.1;;;;77.76220517;41.77837947;3946.492;108.191;Global CS
E38;;;;;;77.76125038;41.77775515;3973.225;Global;0.013;0.013;0.014;0.019;1.134;m;FIX;2023-07-12 10:07:29.0 UTC+02:00;2023-07-12 10:07:40.0 UTC+02:00;12;1.7;;;;77.76220517;41.77837947;3946.492;109.077;Global CS
E39;;;;;;77.76119985;41.77778097;3973.595;Global;0.012;0.011;0.012;0.016;1.134;m;FIX;2023-07-12 10:08:10.0 UTC+02:00;2023-07-12 10:08:20.0 UTC+02:00;11;1.7;;;;77.76220517;41.77837947;3946.492;110.513;Global CS
E40;;;;;;77.76115842;41.77781713;3973.729;Global;0.013;0.012;0.014;0.018;1.134;m;FIX;2023-07-12 10:08:49.0 UTC+02:00;2023-07-12 10:08:59.0 UTC+02:00;11;2;;;;77.76220517;41.77837947;3946.492;110.88;Global CS
E41;;;;;;77.76111293;41.77784613;3973.762;Global;0.013;0.012;0.013;0.018;1.134;m;FIX;2023-07-12 10:09:28.0 UTC+02:00;2023-07-12 10:09:39.0 UTC+02:00;12;2;;;;77.76220517;41.77837947;3946.492;112.137;Global CS
E42;;;;;;77.76107089;41.77787607;3973.813;Global;0.012;0.013;0.018;0.018;1.134;m;FIX;2023-07-12 10:10:03.0 UTC+02:00;2023-07-12 10:10:13.0 UTC+02:00;11;1.7;;;;77.76220517;41.77837947;3946.492;113.341;Global CS
E43;;;;;;77.76102488;41.77790524;3974.068;Global;0.014;0.013;0.014;0.019;1.134;m;FIX;2023-07-12 10:10:35.0 UTC+02:00;2023-07-12 10:10:46.0 UTC+02:00;12;2;;;;77.76220517;41.77837947;3946.492;115.086;Global CS
E44;;;;;;77.76098539;41.7779359;3974.257;Global;0.011;0.011;0.012;0.016;1.134;m;FIX;2023-07-12 10:11:16.0 UTC+02:00;2023-07-12 10:11:27.0 UTC+02:00;12;1.7;;;;77.76220517;41.77837947;3946.492;116.454;Global CS
E45;;;;;;77.76094258;41.77796802;3974.401;Global;0.012;0.011;0.013;0.016;1.134;m;FIX;2023-07-12 10:11:59.0 UTC+02:00;2023-07-12 10:12:09.0 UTC+02:00;11;2;;;;77.76220517;41.77837947;3946.492;118.184;Global CS
E46;;;;;;77.76090006;41.77799969;3974.771;Global;0.013;0.016;0.024;0.021;1.134;m;FIX;2023-07-12 10:12:33.0 UTC+02:00;2023-07-12 10:12:44.0 UTC+02:00;12;2;;;;77.76220517;41.77837947;3946.492;120.14;Global CS
E47;;;;;;77.76086007;41.77803121;3975.025;Global;0.011;0.011;0.013;0.016;1.134;m;FIX;2023-07-12 10:13:05.0 UTC+02:00;2023-07-12 10:13:15.0 UTC+02:00;11;1.7;;;;77.76220517;41.77837947;3946.492;122.06;Global CS
E48;;;;;;77.76082176;41.77806458;3975.411;Global;0.011;0.011;0.011;0.015;1.134;m;FIX;2023-07-12 10:13:37.0 UTC+02:00;2023-07-12 10:13:48.1 UTC+02:00;12;1.7;;;;77.76220517;41.77837947;3946.492;123.983;Global CS
