4  12.00 0.00 10.00  0.00 50.00  0.00 52.00  0.00 741.80 
4  12.00 0.00 10.00  0.00 52.00  0.00 54.00  0.00 676.48 
4  12.00 0.00 10.00  0.00 54.00  0.00 56.00  0.00 673.14 
4  12.00 0.00 10.00  0.00 56.00  0.00 58.00  0.00 658.33 
4  12.00 0.00 10.00  0.00 58.00  0.00 60.00  0.00 724.44 
4  12.00 0.00 10.00  0.00 60.00  0.00 62.00  0.00 681.31 
4  12.00 0.00 10.00  0.00 62.00  0.00 64.00  0.00 631.02 
4  12.00 0.00 10.00  0.00 64.00  0.00 66.00  0.00 1060.60 
4  12.00 0.00 10.00  0.00 66.00  0.00 68.00  0.00 633.69 
4  12.00 0.00 10.00  0.00 68.00  0.00 70.00  0.00 500.63 
4  12.00 0.00 10.00  0.00 70.00  0.00 72.00  0.00 469.75 
4  12.00 0.00 10.00  0.00 72.00  0.00 74.00  0.00 603.30 
4  12.00 0.00 10.00  0.00 74.00  0.00 76.00  0.00 630.93 
4  12.00 0.00 10.00  0.00 76.00  0.00 78.00  0.00 569.43 
4  18.00 0.00 16.00  0.00 20.00  0.00 22.00  0.00 96.86 
4  18.00 0.00 16.00  0.00 22.00  0.00 24.00  0.00 178.77 
4  18.00 0.00 16.00  0.00 24.00  0.00 26.00  0.00 214.14 
4  18.00 0.00 16.00  0.00 26.00  0.00 28.00  0.00 257.86 
4  18.00 0.00 16.00  0.00 28.00  0.00 30.00  0.00 272.50 
4  18.00 0.00 16.00  0.00 30.00  0.00 32.00  0.00 300.68 
4  18.00 0.00 16.00  0.00 32.00  0.00 34.00  0.00 380.80 
4  18.00 0.00 16.00  0.00 34.00  0.00 36.00  0.00 352.80 
4  18.00 0.00 16.00  0.00 36.00  0.00 38.00  0.00 314.10 
4  18.00 0.00 16.00  0.00 38.00  0.00 40.00  0.00 606.81 
4  18.00 0.00 16.00  0.00 40.00  0.00 42.00  0.00 385.92 
4  18.00 0.00 16.00  0.00 42.00  0.00 44.00  0.00 356.51 
4  18.00 0.00 16.00  0.00 44.00  0.00 46.00  0.00 392.95 
4  18.00 0.00 16.00  0.00 46.00  0.00 48.00  0.00 430.60 
4  18.00 0.00 16.00  0.00 48.00  0.00 50.00  0.00 544.38 
4  18.00 0.00 16.00  0.00 50.00  0.00 52.00  0.00 591.78 
4  18.00 0.00 16.00  0.00 52.00  0.00 54.00  0.00 536.86 
4  18.00 0.00 16.00  0.00 54.00  0.00 56.00  0.00 541.57 
4  18.00 0.00 16.00  0.00 56.00  0.00 58.00  0.00 526.01 
4  18.00 0.00 16.00  0.00 58.00  0.00 60.00  0.00 583.93 
4  18.00 0.00 16.00  0.00 60.00  0.00 62.00  0.00 549.04 
4  18.00 0.00 16.00  0.00 62.00  0.00 64.00  0.00 508.99 
4  18.00 0.00 16.00  0.00 64.00  0.00 66.00  0.00 864.57 
4  18.00 0.00 16.00  0.00 66.00  0.00 68.00  0.00 515.15 
4  18.00 0.00 16.00  0.00 68.00  0.00 70.00  0.00 400.39 
4  18.00 0.00 16.00  0.00 70.00  0.00 72.00  0.00 377.06 
4  18.00 0.00 16.00  0.00 72.00  0.00 74.00  0.00 489.63 
4  18.00 0.00 16.00  0.00 74.00  0.00 76.00  0.00 512.80 
4  18.00 0.00 16.00  0.00 76.00  0.00 78.00  0.00 466.32 
4  18.00 0.00 16.00  0.00 78.00  0.00 80.00  0.00 442.57 
4  18.00 0.00 16.00  0.00 80.00  0.00 82.00  0.00 376.98 
4  18.00 0.00 16.00  0.00 82.00  0.00 84.00  0.00 473.45 
4  20.00 0.00 18.00  0.00 22.00  0.00 24.00  0.00 121.91 
4  20.00 0.00 18.00  0.00 24.00  0.00 26.00  0.00 174.36 
4  20.00 0.00 18.00  0.00 26.00  0.00 28.00  0.00 233.79 
4  20.00 0.00 18.00  0.00 28.00  0.00 30.00  0.00 259.98 
4  20.00 0.00 18.00  0.00 30.00  0.00 32.00  0.00 292.31 
4  20.00 0.00 18.00  0.00 32.00  0.00 34.00  0.00 370.05 
4  20.00 0.00 18.00  0.00 34.00  0.00 36.00  0.00 337.59 
