4  45.00 0.00 40.00  0.00 200.00  0.00 205.00  0.00 323.86 
4  45.00 0.00 40.00  0.00 205.00  0.00 210.00  0.00 355.10 
4  50.00 0.00 45.00  0.00 55.00  0.00 60.00  0.00 112.61 
4  50.00 0.00 45.00  0.00 60.00  0.00 65.00  0.00 69.91 
4  50.00 0.00 45.00  0.00 65.00  0.00 70.00  0.00 125.60 
4  50.00 0.00 45.00  0.00 70.00  0.00 75.00  0.00 179.49 
4  50.00 0.00 45.00  0.00 75.00  0.00 80.00  0.00 155.70 
4  50.00 0.00 45.00  0.00 80.00  0.00 85.00  0.00 104.47 
4  50.00 0.00 45.00  0.00 85.00  0.00 90.00  0.00 177.62 
4  50.00 0.00 45.00  0.00 90.00  0.00 95.00  0.00 321.73 
4  50.00 0.00 45.00  0.00 95.00  0.00 100.00  0.00 386.19 
4  50.00 0.00 45.00  0.00 100.00  0.00 105.00  0.00 212.18 
4  50.00 0.00 45.00  0.00 105.00  0.00 110.00  0.00 217.09 
4  50.00 0.00 45.00  0.00 110.00  0.00 115.00  0.00 195.81 
4  50.00 0.00 45.00  0.00 115.00  0.00 120.00  0.00 225.94 
4  50.00 0.00 45.00  0.00 120.00  0.00 125.00  0.00 245.09 
4  50.00 0.00 45.00  0.00 125.00  0.00 130.00  0.00 452.48 
4  50.00 0.00 45.00  0.00 130.00  0.00 135.00  0.00 429.27 
4  50.00 0.00 45.00  0.00 135.00  0.00 140.00  0.00 368.36 
4  50.00 0.00 45.00  0.00 140.00  0.00 145.00  0.00 364.49 
4  50.00 0.00 45.00  0.00 145.00  0.00 150.00  0.00 277.07 
4  50.00 0.00 45.00  0.00 150.00  0.00 155.00  0.00 331.00 
4  50.00 0.00 45.00  0.00 155.00  0.00 160.00  0.00 269.46 
4  50.00 0.00 45.00  0.00 160.00  0.00 165.00  0.00 263.85 
4  50.00 0.00 45.00  0.00 165.00  0.00 170.00  0.00 349.68 
4  50.00 0.00 45.00  0.00 170.00  0.00 175.00  0.00 343.05 
4  50.00 0.00 45.00  0.00 175.00  0.00 180.00  0.00 302.78 
4  50.00 0.00 45.00  0.00 180.00  0.00 185.00  0.00 319.87 
4  50.00 0.00 45.00  0.00 185.00  0.00 190.00  0.00 282.54 
4  50.00 0.00 45.00  0.00 190.00  0.00 195.00  0.00 270.84 
4  50.00 0.00 45.00  0.00 195.00  0.00 200.00  0.00 217.39 
4  50.00 0.00 45.00  0.00 200.00  0.00 205.00  0.00 231.53 
4  50.00 0.00 45.00  0.00 205.00  0.00 210.00  0.00 245.53 
4  50.00 0.00 45.00  0.00 210.00  0.00 215.00  0.00 249.26 
4  55.00 0.00 50.00  0.00 60.00  0.00 65.00  0.00 224.29 
4  55.00 0.00 50.00  0.00 65.00  0.00 70.00  0.00 393.46 
4  55.00 0.00 50.00  0.00 70.00  0.00 75.00  0.00 611.71 
4  55.00 0.00 50.00  0.00 75.00  0.00 80.00  0.00 550.46 
4  55.00 0.00 50.00  0.00 80.00  0.00 85.00  0.00 366.35 
4  55.00 0.00 50.00  0.00 85.00  0.00 90.00  0.00 627.00 
4  55.00 0.00 50.00  0.00 90.00  0.00 95.00  0.00 1159.63 
4  55.00 0.00 50.00  0.00 95.00  0.00 100.00  0.00 1366.62 
4  55.00 0.00 50.00  0.00 100.00  0.00 105.00  0.00 747.60 
4  55.00 0.00 50.00  0.00 105.00  0.00 110.00  0.00 782.05 
4  55.00 0.00 50.00  0.00 110.00  0.00 115.00  0.00 715.44 
4  55.00 0.00 50.00  0.00 115.00  0.00 120.00  0.00 814.17 
4  55.00 0.00 50.00  0.00 120.00  0.00 125.00  0.00 886.66 
4  55.00 0.00 50.00  0.00 125.00  0.00 130.00  0.00 1597.30 
4  55.00 0.00 50.00  0.00 130.00  0.00 135.00  0.00 1529.86 
4  55.00 0.00 50.00  0.00 135.00  0.00 140.00  0.00 1308.09 
4  55.00 0.00 50.00  0.00 140.00  0.00 145.00  0.00 1299.49 
4  55.00 0.00 50.00  0.00 145.00  0.00 150.00  0.00 992.60 
4  55.00 0.00 50.00  0.00 150.00  0.00 155.00  0.00 1183.16 
4  55.00 0.00 50.00  0.00 155.00  0.00 160.00  0.00 978.34 
4  55.00 0.00 50.00  0.00 160.00  0.00 165.00  0.00 956.88 
4  55.00 0.00 50.00  0.00 165.00  0.00 170.00  0.00 1234.65 
4  55.00 0.00 50.00  0.00 170.00  0.00 175.00  0.00 1227.60 
4  55.00 0.00 50.00  0.00 175.00  0.00 180.00  0.00 1084.87 
4  55.00 0.00 50.00  0.00 180.00  0.00 185.00  0.00 1182.53 
4  55.00 0.00 50.00  0.00 185.00  0.00 190.00  0.00 1052.88 
4  55.00 0.00 50.00  0.00 190.00  0.00 195.00  0.00 1035.22 
4  55.00 0.00 50.00  0.00 195.00  0.00 200.00  0.00 902.86 
4  55.00 0.00 50.00  0.00 200.00  0.00 205.00  0.00 937.13 
4  55.00 0.00 50.00  0.00 205.00  0.00 210.00  0.00 1039.02 
4  55.00 0.00 50.00  0.00 210.00  0.00 215.00  0.00 1048.67 
4  55.00 0.00 50.00  0.00 215.00  0.00 220.00  0.00 944.14 
4  60.00 0.00 55.00  0.00 65.00  0.00 70.00  0.00 238.63 
4  60.00 0.00 55.00  0.00 70.00  0.00 75.00  0.00 466.47 
4  60.00 0.00 55.00  0.00 75.00  0.00 80.00  0.00 477.11 
4  60.00 0.00 55.00  0.00 80.00  0.00 85.00  0.00 336.16 
4  60.00 0.00 55.00  0.00 85.00  0.00 90.00  0.00 603.18 
4  60.00 0.00 55.00  0.00 90.00  0.00 95.00  0.00 1153.15 
