48 	 # Number of sensors 
# x z 
0.00 -9.30 
4.90 -8.60 
9.90 -7.90 
14.90 -7.40 
19.90 -7.10 
24.90 -6.90 
29.90 -6.80 
34.90 -6.70 
39.90 -6.60 
44.90 -6.30 
49.80 -6.20 
54.80 -5.70 
59.80 -5.00 
64.80 -4.50 
69.70 -4.20 
74.70 -3.80 
79.70 -3.20 
84.70 -2.80 
89.70 -2.50 
94.70 -2.20 
99.70 -2.00 
104.60 -1.80 
109.60 -1.60 
114.60 -1.30 
119.60 -1.20 
124.60 -1.00 
129.60 -0.80 
134.60 -0.40 
139.60 -0.30 
144.60 -0.10 
149.60 -0.10 
154.60 0.00 
159.60 -0.40 
164.60 -1.00 
169.50 -1.30 
174.50 -1.40 
179.50 -1.60 
184.50 -1.70 
189.50 -1.60 
194.50 -1.60 
199.50 -1.60 
204.50 -1.70 
209.50 -2.30 
214.50 -2.90 
219.40 -3.40 
224.40 -3.40 
229.40 -3.30 
234.40 -3.20 
792 	 # Number of measurements 
# a b m n rhoa err
18 19 33 34 1904.10 0.040 
19 20 34 35 1201.40 0.040 
20 21 35 36 295.06 0.040 
21 22 36 37 772.35 0.040 
22 23 37 38 1200.40 0.040 
23 24 38 39 665.08 0.040 
24 25 39 40 227.98 0.040 
25 26 40 41 790.13 0.040 
27 28 42 43 615.61 0.040 
28 29 43 44 743.71 0.040 
29 30 44 45 652.29 0.040 
30 31 45 46 539.75 0.040 
31 32 46 47 402.69 0.040 
32 33 47 48 468.92 0.040 
5 6 21 22 841.90 0.040 
6 7 22 23 743.24 0.040 
7 8 23 24 1011.80 0.040 
8 9 24 25 473.82 0.040 
9 10 25 26 302.09 0.040 
10 11 26 27 214.75 0.040 
11 12 27 28 250.51 0.040 
12 13 28 29 493.29 0.040 
13 14 29 30 567.34 0.040 
14 15 30 31 550.34 0.040 
15 16 31 32 683.00 0.040 
16 17 32 33 771.43 0.040 
17 18 33 34 1931.50 0.040 
18 19 34 35 1385.60 0.040 
19 20 35 36 486.53 0.040 
20 21 36 37 580.71 0.040 
21 22 37 38 1556.30 0.040 
22 23 38 39 859.42 0.040 
23 24 39 40 253.87 0.040 
24 25 40 41 617.26 0.040 
27 28 43 44 877.17 0.040 
28 29 44 45 529.48 0.040 
29 30 45 46 759.18 0.040 
31 32 47 48 422.88 0.040 
1 2 18 19 636.76 0.040 
5 6 22 23 656.37 0.040 
6 7 23 24 622.87 0.040 
7 8 24 25 1066.60 0.040 
8 9 25 26 570.97 0.040 
9 10 26 27 271.87 0.040 
10 11 27 28 279.39 0.040 
11 12 28 29 209.80 0.040 
12 13 29 30 514.90 0.040 
